line_id,cn_source,cn_content,en_source,en_content,wallpapers_dir,av_dir
13,《飞越疯人院》,"我必须疯了，否则我不会在这儿。","One Flew Over the Cuckoo's Nest","I must be crazy to be in a loony bin like this.","One Flew Over the Cuckoos Nest (1975) [imdbid-tt0073486]"
14,《闪灵》,"这里是约翰尼！","The Shining","Here's Johnny!","The Shining (1980) [imdbid-tt0081505]"
15,《教父》,"保持你的朋友接近，但是保持你的敌人更接近。","The Godfather","Keep your friends close, but your enemies closer.","The Godfather (1972) [imdbid-tt0068646]"
16,《阿甘正传》,"妈妈总是说，傻人有傻福。","Forrest Gump","Mama always said, stupid is as stupid does.","Forrest Gump (1994) [imdbid-tt0109830]"
17,《阿甘正传》,"我不是个聪明人，但我知道什么是爱。","Forrest Gump","I may not be a smart man, but I know what love is.","Forrest Gump (1994) [imdbid-tt0109830]"
18,《泰坦尼克号》,"我是世界之王！","Titanic","I'm the king of the world!","Titanic (1997) [imdbid-tt0120338]"
19,《飞越疯人院》,"你不能夺走我的自由。","One Flew Over the Cuckoo's Nest","You can't take away my freedom.","One Flew Over the Cuckoos Nest (1975) [imdbid-tt0073486]"
20,《这个杀手不太冷》,"没有人可以给你权力，你必须争取。","Léon: The Professional","No one can give you power. You have to take it.","Leon The Professional (1994) [imdbid-tt0110413]"
21,《教父》,"我不是教父。","The Godfather","I'm not a godfather.","The Godfather (1972) [imdbid-tt0068646]"
22,《星球大战》,"我是你的父亲。","Star Wars","I am your father.","Star Wars (1977) [imdbid-tt0076759]"
23,《肖申克的救赎》,"有些鸟儿是关不住的，因为他们的羽毛太亮了。","The Shawshank Redemption","Some birds aren't meant to be caged. Their feathers are just too bright.","Leon The Professional (1994) [imdbid-tt0110413]"
24,《当幸福来敲门》,"你有梦想就要去捍卫它。","The Pursuit of Happyness","You got a dream, you gotta protect it.","The Pursuit of Happiness (2006) [imdbid-tt0454921]"
25,《阿凡达》,"我们都是同一个母亲的孩子。","Avatar","We are all children of the same mother.","Avatar (2009) [imdbid-tt0499549]"
26,《乱世佳人》,"我不会再爱别人了。","Gone with the Wind","I'll never love anyone else.","Gone with the Wind (1939) [imdbid-tt0031381]"
27,《这个杀手不太冷》,"人生就像一场舞会，人们在舞会中会遇到许多面孔。","Léon: The Professional","Life is like a dance. We meet many faces in the dance.","Leon The Professional (1994) [imdbid-tt0110413]"
28,《美丽心灵》,"我的思想是自由的。","A Beautiful Mind","My thoughts are free.","A Beautiful Mind (1994) [imdbid-tt0268978]"
29,《教父》,"我没有时间为那些不愿意为自己生活的人操心。","The Godfather","I don't have time to worry about people who won't worry about themselves.","The Godfather (1972) [imdbid-tt0068646]"
30,《黑暗骑士》,"我们需要的不是英雄，而是让世界恢复正常。","The Dark Knight","What we need is not a hero, but to restore the world to normal.","The Dark Knight (2008) [imdbid-tt0468569]"
31,《飞越疯人院》,"我不是疯子，我是正常人。","One Flew Over the Cuckoo's Nest","I'm not crazy, I'm normal.","One Flew Over the Cuckoos Nest (1975) [imdbid-tt0073486]"
32,《闪灵》,"我一直在这里。","The Shining","I've always been here.","The Shining (1980) [imdbid-tt0081505]"
33,《教父》,"我是一个公平的人，只要你也公平对我。","The Godfather","I'm a fair person as long as you are fair to me.","The Godfather (1972) [imdbid-tt0068646]"
34,《阿甘正传》,"跑，阿甘，跑！","Forrest Gump","Run, Forrest, run!","Forrest Gump (1994) [imdbid-tt0109830]"
35,《阿甘正传》,"我只是一只羽毛，飘在风中。","Forrest Gump","I'm just a feather, floating in the wind.","Forrest Gump (1994) [imdbid-tt0109830]"
36,《泰坦尼克号》,"永远不要说再见，因为再见意味着走远，走远意味着分离。","Titanic","Never say goodbye, because goodbye means going away, and going away means forgetting.","Titanic (1997) [imdbid-tt0120338]"
37,《飞越疯人院》,"我不是神，我只是个人。","One Flew Over the Cuckoo's Nest","I'm not a god, I'm just a man.","One Flew Over the Cuckoos Nest (1975) [imdbid-tt0073486]"
38,《这个杀手不太冷》,"生活就像一场游戏，我们都是玩家。","Léon: The Professional","Life is like a game, we are all players.","Leon The Professional (1994) [imdbid-tt0110413]"
39,《教父》,"我不是恶人，我只是个商人。","The Godfather","I'm not a bad guy, I'm just a businessman.","The Godfather (1972) [imdbid-tt0068646]"
40,《星球大战》,"我有一个不详的预感。","Star Wars","I have a bad feeling about this.","Star Wars (1977) [imdbid-tt0076759]"
41,《肖申克的救赎》,"恐惧可以让你成为囚犯，希望可以让你自由。","The Shawshank Redemption","Fear can hold you prisoner, hope can set you free.","The Shawshank Redemption (1994) [imdbid-tt0111161]"
42,《当幸福来敲门》,"你要相信你自己。","The Pursuit of Happyness","You have to believe in yourself.","The Pursuit of Happiness (2006) [imdbid-tt0454921]"
43,《阿凡达》,"我们都是星尘。","Avatar","We are all stardust.","Avatar (2009) [imdbid-tt0499549]"
44,《乱世佳人》,"我不在乎他们怎么看我。","Gone with the Wind","I don't care what they think of me.","Gone with the Wind (1939) [imdbid-tt0031381]"
45,《这个杀手不太冷》,"我是个简单的人，我喜欢简单的事。","Léon: The Professional","I'm a simple person, I like simple things.","Leon The Professional (1994) [imdbid-tt0110413]"
46,《美丽心灵》,"我不是天才，我只是好奇。","A Beautiful Mind","I'm not a genius, I'm just curious.","A Beautiful Mind (1994) [imdbid-tt0268978]"
47,《教父》,"我只是个普通人，试图过普通的生活。","The Godfather","I'm just an ordinary person, trying to live an ordinary life.","The Godfather (1972) [imdbid-tt0068646]"
48,《黑暗骑士》,"我是黑暗的骑士。","The Dark Knight","I'm the Dark Knight.","The Dark Knight (2008) [imdbid-tt0468569]"
49,《飞越疯人院》,"我不是疯子，我是你的朋友。","One Flew Over the Cuckoo's Nest","I'm not crazy, I'm your friend.","One Flew Over the Cuckoos Nest (1975) [imdbid-tt0073486]"
50,《闪灵》,"我不是疯子，我是个作家。","The Shining","I'm not crazy, I'm a writer.","The Shining (1980) [imdbid-tt0081505]"
51,《绿皮书》,"所以如果我既不够黑，也不够白，甚至不够男人，那你告诉我，托尼，我是谁？","Green Book","So, if I am not black enough and if I am not white enough and if I am not man enough, then tell me, Tony, what am I?","Green Book (2018) [imdbid-tt6966692]","Green Book (2018) [imdbid-tt6966692] - 1080p_01_33_05_060-01_33_12_101"
52,《绿皮书》,"亲爱的桃乐丝...有时候你让我想到一栋房子，一栋装饰着漂亮的灯的房子，房子里的每个人都很幸福","Green Book","Dear Dolores...Sometimes you remind me of a house,A house with beautiful lights on it,where everyone is happy inside.","Green Book (2018) [imdbid-tt6966692]","Green Book (2018) [imdbid-tt6966692] - 1080p_01_35_14_156-01_35_28_203"
53,《绿皮书》,"那你弯腰屈膝在碎石地上，掷骰子赢几个零钱，就是赢家了，他们没有选择是否进场的权利，但是你有，拍拍膝盖吧，沾了土","Green Book","So stooping down in the gravel, pitching dice for pocket change makes you a winner? They did not have a choice wheather to be inside or out,You did.Now wipe off your kness.You have dirt on them.","Green Book (2018) [imdbid-tt6966692]","Green Book (2018) [imdbid-tt6966692] - 1080p_00_40_46_121-00_41_05_007"
54,《钢铁侠》,"我老爸有个理论，和平就是比对方的棍子大","Iron Man","My old man had a philosophy, Peace means having a bigger stick than the other guy.","Iron Man (2008) [imdbid-tt0371746]","Iron Man (2008) [imdbid-tt0371746] - 1080p_00_08_24_252-00_08_28_006"
55,《钢铁侠》,"弓和箭，曾是武器科技的巅峰，让伟大的成吉思汗，一统从太平洋到乌克兰之间的土地，他的帝国是亚历山大大帝的两倍，是罗马帝国的四倍，但今天有最新的斯塔克工业武器的人，就能统治这些土地。","Iron Man","The bow and arrow once was the pinnacle of weapons technology. It allowed the great Genghis Khan to rule from the Pacific to the Ukraine. An empire twice the size of Alexander the Great and four times the size of the Roman Empire. But today, whoever holds the latest Stark weapons rules these lands.","Iron Man (2008) [imdbid-tt0371746]","Iron Man (2008) [imdbid-tt0371746] - 1080p_00_29_14_753-00_29_49_787"
56,《钢铁侠》,"如果我没算错，我通常不会算错，每秒能产生3千兆焦耳，那足以让你的心跳50辈子，或者让什么大玩意跑15分钟。","Iron Man","If my math is right, and it always is, three gigajoules per second. That could run your heart for 50 lifetimes. Or something big for 15 minutes.","Iron Man (2008) [imdbid-tt0371746]","Iron Man (2008) [imdbid-tt0371746] - 1080p_00_25_52_050-00_26_02_726"
57,《钢铁侠》,"这是个不完美的世界，但我们只有这个世界，我向你保证，如果哪天再不需要武器来维护和平了，我会开始为婴儿医院制造建材的","Iron Man","It's an imperfect world, but it's the only one we've got. I guarantee you, the day weapons are no longer needed to keep the peace, I'll start making bricks and beams for baby hospitals.","Iron Man (2008) [imdbid-tt0371746]","Iron Man (2008) [imdbid-tt0371746] - 1080p_00_08_08_488-00_08_15_494"
58,《钢铁侠》,"真是美丽，托尼，这是你的第九交响乐，真是杰作，看啊，这是你的遗产。","Iron Man","Oh, it's beautiful. Tony, this is your Ninth Symphony. What a masterpiece. Look at that. This is your legacy.","Iron Man (2008) [imdbid-tt0371746]","Iron Man (2008) [imdbid-tt0371746] - 1080p_01_37_37_977-01_37_54_993"
59,《钢铁侠2》,"我并不重要，你们也不重要，我们都不重要，重要的是传承，我们该替未来世代留下什么。","Iron Man 2","Please, it's not about me. It's not about you. It's not even about us. It's about legacy. It's about what we choose to leave behind for future generations.","Iron Man 2 (2010) [imdbid-tt1228705]","IronMan2PleaseItIsNotAboutMe"
60,《钢铁侠2》,"你带了草莓给我？你知道全世界我只对一样东西过敏吗？对草莓过敏。","Iron Man 2","Did you bring me strawberries? Did you know that there's only one thing on Earth that I'm allergic to? Allergic to strawberries.","Iron Man 2 (2010) [imdbid-tt1228705]","IronMan2DidYouBringMeStrawberries"
61,《钢铁侠2》,"当水中有血迹，就会引来鲨鱼，我只要坐在这里看，世人就会把你吞噬。","Iron Man 2","And there will be blood in the water. And the sharks will come. The truth, all I have to do is sit here and watch as the world will consume you.","Iron Man 2 (2010) [imdbid-tt1228705]","IronMan2AndThereWillBe"
62,《钢铁侠2》,"我的经典之作，造型优雅，美到不行，可以把任何建筑物夷为平地，我把它命名为〝前妻〞。","Iron Man 2","It's completely elegant. It's bafflingly beautiful. It's capable of reducing the population of any standing structure to zero. I call it the Ex-Wife.","Iron Man 2 (2010) [imdbid-tt1228705]","IronMan2ItISCompletelyElegant"
63,《钢铁侠2》,"它再聪明一点就会自己写书，绝对比小说《尤利西斯》更艰涩，而且还会自己读给你听。","Iron Man 2","If it were any smarter, it would write a book. A book that would make Ulysses look like it was written in crayon. It would read it to you.","Iron Man 2 (2010) [imdbid-tt1228705]","IronMan2IfITWereAnySmarter"
64,《钢铁侠3》,"如果要我给这一切加个好结尾，我猜我会说我的战衣，从不是什么消遣或爱好，而是茧，现在我破茧成蝶了。你可以拿走我的房子、花招和玩具，有一样东西你永远拿不走，我就是钢铁侠。","Iron Man 3","So if I were to wrap this up tight with a bow or whatever, I guess I'd say my armor, it was never a distraction or a hobby, it was a cocoon. And now, I'm a changed man. You can take away my house, all my tricks and toys. One thing you can't take away...I am Iron Man.","Iron Man 3 (2013) [imdbid-tt1300854]","IronMan3SoIfIWereTo"
65,《钢铁侠3》,"神祇，外星人，其他维度。我只是个身处铁甲的凡人。我还没有崩溃，可能的唯一原因就是你的出现。","Iron Man 3","Gods, aliens, other dimensions. I'm just a man in a can. The only reason I haven't cracked up is probably because you moved in.","Iron Man 3 (2013) [imdbid-tt1300854]","IronMan3GodsAliensOtherDimensions"
66,《钢铁侠3》,"一位名人曾说，我们总会亲手种下自己的祸根。","Iron Man 3","A famous man once said: We create our own demons.","Iron Man 3 (2013) [imdbid-tt1300854]","IronMan3AFamousManOnceSaid"
67,《钢铁侠3》,"爱因斯坦一年才睡三小时，看看他干了什么","Iron Man 3","Einstein slept three hours a year. Look what he did","Iron Man 3 (2013) [imdbid-tt1300854]","IronMan3EinsteinSleptThreeHours"
68,《钢铁侠3》,"你知道我老爸以前是怎么跟我说的吗？他最喜欢说的一句话是，早起的鸟儿有虫吃，但是第二只老鼠有奶酪吃。","Iron Man 3","You know what my old man used to say to me? One of his favorite of many sayings, The early bird gets the worm, but the second mouse gets the cheese.","Iron Man 3 (2013) [imdbid-tt1300854]","IronMan3YouKnowWhatMyOldMan"
69,《钢铁侠3》,"在为纳粹制造火箭以前,理想主义的维尔纳·冯·布劳恩，德国核物理学家和火箭专家，纳粹乙级战犯，幻想着航天旅行，他喜欢仰望星空，第一枚V2火箭击中伦敦后，你知道他说了什么吗？火箭运行得很完美，它只是落在了错误的星球上，我们开始时都很天真，纯粹的科学，然后自大心开始作祟变得痴迷，抬头看时，已经偏离了很远。","Iron Man 3","Before he built rockets for the Nazis, the idealistic Werner von Braun dreamed of space travel, he stargazed. Do you know what he said when the first V2 hit London? The rocket performed perfectly, it just landed on the wrong planet. See we all begin wide-eyed, pure science. And then the ego steps in, the obsession. And...you look up, you're a long way from shore.","Iron Man 3 (2013) [imdbid-tt1300854]","IronMan3TBeforeHeBuiltRockets"
70,《钢铁侠3》,"福饼的真相是它们看上去像来自中国，听上去也像，但其实它们是美国制造，所以它们是空心的，充满了谎言，还会在嘴里留下恶心的味道。","Iron Man 3","True story about fortune cookies. They look Chinese, they sound Chinese, but they're actually an American invention. Which is why they're hollow, full of lies, and leave a bad taste in the mouth.","Iron Man 3 (2013) [imdbid-tt1300854]","IronMan3TrueStoryAboutFortune"
71,《钢铁侠3》,"你觉得你这辈子的决定性时刻是什么时候？是我下定决心要战胜伤痛的那天","Iron Man 3","What would you regard as the defining moment of your life? I think that'd be the day I decided not to let my injury beat me.","Iron Man 3 (2013) [imdbid-tt1300854]","IronMan3WhatWouldYouRegard"
72,《绿皮书》,"我今晚看到谢利博士弹钢琴了，他弹起琴来不像个黑人，像李博拉斯，但比他更好，我觉得他就是个天才，当我从后视镜看他的时候，他总是若有所思，天才大概都是这样的吧，但天才的生活看上去没什么乐趣，我非常非常思念你","Green Book","I saw Dr. Shirley play the piano tonight. He don't play like a colored guy. He plays like Liberace, but better. He's like a genius, I think. When I look at him in the rearview mirror, I can tell he's always thinking about stuff in his head. I guess that's what geniuses do. But it don't look fun to be that smart. I miss you very, very much.","Green Book (2018) [imdbid-tt6966692]","Green Book (2018) [imdbid-tt6966692] - 1080p_00_41_36_905-00_42_03_096"
73,《教父》,"我花了一辈子就学会了小心，女人和小孩能够粗心大意，但男人不行。","The Godfather","I spend my life trying not to be careless. Women and children can be careless, but not men.","The Godfather (1972) [imdbid-tt0068646]",""
74,《老友记》,"欢迎来到现实世界，它烂透了，但你会爱上它的。","Friends","Welcome to the real world. It sucks. You’re gonna love it!","Friends (1994) [tmdbid-1668]",""
75,《老友记》,"我希望能帮忙，但我不想去。","Friends","I wish I could, but I don’t want to.","Friends (1994) [tmdbid-1668]",""
76,《老友记》,"谁能让我今天不用上班","Friends","Oh please, somebody tell me I don't have to go to work today!","Friends (1994) [tmdbid-1668]",""
